time,open,high,low,close,tick_volume,spread,real_volume,wavy_h,wavy_c,wavy_l,tunnel1,tunnel2,long_term_ema,peak,dip
2023-01-02 07:00:00,1.07016,1.07017,1.06909,1.06967,340,1,0,1.07017,1.06967,1.06909,1.06967,1.06967,1.06967,False,False
2023-01-02 08:00:00,1.06971,1.06989,1.06754,1.06935,554,5,0,1.0700258823529412,1.069505294117647,1.068292205882353,1.0695088888888888,1.0695090532544378,1.0695091999999997,False,False
2023-01-02 09:00:00,1.06916,1.0692,1.06636,1.06791,883,4,0,1.0697342404151053,1.0689419515710579,1.0676098904583455,1.068968506646948,1.0689697152327153,1.0689707938267181,False,False
2023-01-02 10:00:00,1.06791,1.0698,1.06713,1.06788,2164,0,0,1.0697521584727236,1.0686525928491533,1.0674791307387261,1.0686906846165,1.068692431446756,1.0686939913267794,False,False
2023-01-02 11:00:00,1.06789,1.07005,1.06769,1.06784,2189,0,0,1.0698189345595057,1.0684704094877202,1.0675264076386912,1.068515789078673,1.0685178862449416,1.0685197601024534,False,False
2023-01-02 12:00:00,1.06788,1.06898,1.06749,1.06836,781,0,0,1.0696577692158578,1.0684491990335452,1.067519413470273,1.0684889143863707,1.0684907872336713,1.0684924633363275,False,False
2023-01-02 13:00:00,1.06836,1.06866,1.06804,1.06846,602,0,0,1.0694888840643064,1.0684510272347238,1.0676075293727996,1.068484609672492,1.0684862313785555,1.0684876854347696,False,False
2023-01-02 14:00:00,1.06845,1.06871,1.06783,1.0682,885,0,0,1.0693703392446128,1.068412821319823,1.067641389020977,1.0684472802174991,1.0684489530577932,1.0684504536099049,False,False
2023-01-02 15:00:00,1.06821,1.06863,1.0677699999999999,1.06788,956,0,0,1.0692674418375845,1.0683387661719728,1.067659264253653,1.0683806910227311,1.0683827024670833,1.0683845050995722,False,False
2023-01-02 16:00:00,1.06787,1.06819,1.06703,1.06725,1103,0,0,1.069129020556713,1.0681988900293944,1.0675784213153534,1.0682604251922112,1.0682633054843482,1.0682658815999166,False,False
2023-01-02 17:00:00,1.06724,1.0674,1.06585,1.06603,1669,0,0,1.0689216790735356,1.067938800076272,1.0673711516922773,1.068043287114207,1.0680480523100735,1.0680523048895019,False,False
